person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
25,female,bachelor,361244.0,2,mortgage,18000.0,homeimprovement,16.45,0.05,3.0,620,no,0
26,male,bachelor,98230.0,2,rent,30000.0,personal,7.49,0.31,3.0,622,no,1
22,female,high school,80838.0,0,rent,30000.0,medical,12.69,0.37,3.0,645,no,1
26,male,master,107957.0,2,rent,30000.0,debtconsolidation,6.62,0.28,3.0,654,no,1
24,female,bachelor,94649.0,2,rent,30000.0,debtconsolidation,11.01,0.32,4.0,624,no,1
23,male,high school,94550.0,1,rent,30000.0,debtconsolidation,18.62,0.32,3.0,570,no,1
23,male,bachelor,111153.0,3,rent,30000.0,personal,15.23,0.27,3.0,648,no,1
23,female,associate,117250.0,0,rent,30000.0,venture,10.65,0.26,2.0,652,no,1
25,male,bachelor,144985.0,3,rent,30000.0,education,7.9,0.21,4.0,559,no,0
26,male,high school,337133.0,7,rent,10000.0,personal,15.96,0.03,3.0,623,yes,0
26,male,associate,333566.0,2,rent,20000.0,venture,11.48,0.06,3.0,602,yes,0
23,male,bachelor,333399.0,1,own,35000.0,personal,11.01,0.1,4.0,609,no,0
25,male,master,154793.0,1,rent,30000.0,personal,7.29,0.19,4.0,573,yes,0
24,male,associate,15229.0,1,own,1750.0,venture,11.01,0.11,3.0,631,yes,0
21,female,bachelor,158338.0,0,rent,30000.0,venture,5.99,0.19,4.0,623,yes,0
22,female,bachelor,331034.0,0,own,12000.0,venture,11.58,0.04,2.0,602,yes,0
26,female,high school,316466.0,6,mortgage,10000.0,education,11.01,0.03,4.0,579,no,1
25,female,associate,267671.0,0,mortgage,25000.0,medical,15.7,0.09,2.0,582,no,1
22,male,master,85191.0,0,rent,29100.0,education,15.99,0.34,3.0,700,no,1
22,male,associate,15013.0,0,mortgage,1500.0,education,14.84,0.1,3.0,688,no,0
26,male,bachelor,313100.0,3,own,28000.0,homeimprovement,10.99,0.09,3.0,607,yes,0
25,female,bachelor,311952.0,0,mortgage,20000.0,homeimprovement,14.42,0.06,2.0,661,yes,0
24,male,high school,306897.0,5,mortgage,9600.0,education,6.99,0.03,2.0,562,yes,0
25,female,bachelor,301136.0,0,rent,25000.0,medical,13.49,0.08,4.0,664,yes,0
25,male,high school,15162.0,1,own,3000.0,medical,11.01,0.2,3.0,564,no,1
22,male,associate,69042.0,0,rent,28000.0,medical,11.01,0.41,2.0,598,no,1
21,female,high school,15307.0,0,own,3000.0,education,13.61,0.2,3.0,557,no,1
23,female,associate,79183.0,0,rent,28000.0,education,7.9,0.35,2.0,677,no,1
26,male,bachelor,102654.0,4,rent,28000.0,venture,7.49,0.27,3.0,690,no,1
26,male,associate,15229.0,1,own,6100.0,education,7.51,0.4,3.0,599,no,1
22,male,high school,106566.0,0,rent,28000.0,venture,9.91,0.26,3.0,604,no,1
21,female,bachelor,15252.0,0,own,4200.0,personal,13.48,0.28,4.0,663,no,1
22,male,bachelor,15432.0,3,own,4750.0,debtconsolidation,7.14,0.31,2.0,601,no,1
24,male,high school,100332.0,1,rent,28000.0,venture,15.99,0.28,4.0,634,no,1
24,male,bachelor,300951.0,2,rent,18000.0,education,12.98,0.06,3.0,671,no,0
25,female,bachelor,121062.0,1,rent,28000.0,debtconsolidation,12.69,0.23,3.0,622,no,0
26,male,associate,133372.0,1,rent,28000.0,education,8.9,0.21,2.0,538,yes,0
26,male,bachelor,15505.0,0,own,2700.0,debtconsolidation,11.01,0.17,4.0,587,no,1
22,male,master,130852.0,0,rent,28000.0,education,11.01,0.21,4.0,683,no,1
23,male,associate,182316.0,0,rent,28000.0,debtconsolidation,11.11,0.15,2.0,634,yes,0
24,female,bachelor,83853.0,3,rent,27600.0,homeimprovement,11.01,0.33,2.0,690,no,1
21,female,bachelor,15394.0,0,mortgage,3250.0,debtconsolidation,15.68,0.21,3.0,518,no,1
22,female,bachelor,85243.0,0,rent,27500.0,education,13.06,0.32,3.0,583,no,1
22,male,associate,288907.0,2,own,25000.0,personal,11.01,0.09,2.0,617,yes,0
26,male,associate,89074.0,4,rent,27050.0,venture,15.62,0.3,2.0,668,no,1
24,male,master,100509.0,2,rent,27000.0,personal,13.49,0.27,2.0,673,no,1
24,male,high school,88950.0,3,rent,27000.0,venture,11.01,0.3,3.0,706,no,1
23,female,high school,75894.0,1,rent,26000.0,medical,11.71,0.34,2.0,536,no,1
23,male,associate,145092.0,0,rent,25600.0,education,12.69,0.18,3.0,557,yes,0
24,female,bachelor,15928.0,1,own,1600.0,medical,13.57,0.1,3.0,689,yes,0
22,male,bachelor,73131.0,3,rent,25475.0,venture,10.99,0.35,3.0,681,no,1
25,male,master,281501.0,4,mortgage,20000.0,medical,14.27,0.07,4.0,623,yes,0
24,female,associate,281775.0,0,own,20000.0,homeimprovement,8.88,0.07,4.0,595,yes,0
26,male,bachelor,281792.0,1,mortgage,21600.0,homeimprovement,12.18,0.08,3.0,584,yes,0
25,male,bachelor,266090.0,4,mortgage,11900.0,debtconsolidation,14.42,0.04,3.0,669,no,1
26,male,high school,279664.0,3,mortgage,25000.0,medical,14.17,0.09,2.0,642,yes,0
25,female,high school,277017.0,4,mortgage,35000.0,medical,13.99,0.13,4.0,622,yes,0
23,male,associate,100756.0,0,rent,25300.0,education,10.99,0.25,3.0,689,no,1
22,male,high school,16218.0,1,mortgage,2000.0,personal,5.42,0.12,4.0,614,no,1
25,female,bachelor,16211.0,2,own,1750.0,personal,13.61,0.11,3.0,597,yes,0
21,female,bachelor,51922.0,3,rent,25000.0,education,12.73,0.48,3.0,673,no,1
24,male,associate,50309.0,3,rent,25000.0,homeimprovement,11.01,0.5,3.0,625,no,1
25,male,high school,16378.0,0,own,3000.0,debtconsolidation,12.87,0.18,4.0,603,no,1
24,male,bachelor,16572.0,0,mortgage,3650.0,homeimprovement,9.91,0.22,3.0,589,no,1
26,male,master,272201.0,5,mortgage,20000.0,homeimprovement,11.49,0.07,4.0,670,yes,0
25,female,bachelor,271324.0,3,mortgage,30000.0,homeimprovement,19.91,0.11,2.0,637,yes,0
26,male,associate,256862.0,2,mortgage,35000.0,education,10.65,0.14,2.0,643,no,1
24,male,high school,271342.0,0,rent,6000.0,medical,11.01,0.02,4.0,508,yes,0
24,male,high school,16470.0,2,mortgage,4500.0,debtconsolidation,11.83,0.27,4.0,643,no,1
23,male,high school,16599.0,0,own,2400.0,debtconsolidation,13.49,0.14,2.0,505,no,1
22,male,bachelor,51608.0,0,rent,25000.0,medical,14.59,0.48,2.0,593,no,1
26,female,master,58516.0,6,rent,25000.0,education,9.64,0.43,4.0,686,no,1
25,female,associate,16395.0,4,own,3600.0,medical,14.59,0.22,3.0,646,no,1
22,female,bachelor,16890.0,0,own,4750.0,education,11.01,0.28,3.0,645,no,1
25,female,associate,51747.0,3,rent,25000.0,education,16.35,0.48,3.0,697,no,1
21,male,high school,59864.0,0,rent,25000.0,education,10.99,0.42,2.0,648,no,1
25,male,master,270972.0,1,mortgage,25000.0,venture,18.67,0.09,2.0,640,yes,0
26,male,bachelor,270870.0,5,rent,3000.0,education,9.32,0.01,4.0,681,no,0
23,female,associate,270729.0,0,rent,7500.0,debtconsolidation,8.63,0.03,2.0,646,no,0
26,male,bachelor,270877.0,4,mortgage,25000.0,venture,10.08,0.09,2.0,615,yes,0
22,male,associate,60501.0,0,rent,25000.0,personal,11.83,0.41,3.0,687,no,1
23,male,high school,60754.0,1,rent,25000.0,debtconsolidation,7.9,0.41,3.0,650,no,1
25,male,bachelor,60829.0,0,rent,25000.0,homeimprovement,5.99,0.41,2.0,588,no,1
24,male,bachelor,53825.0,2,rent,25000.0,debtconsolidation,15.33,0.46,2.0,652,no,1
23,male,high school,60801.0,0,rent,25000.0,venture,11.83,0.41,4.0,658,no,1
22,male,high school,60747.0,0,rent,25000.0,venture,10.36,0.41,2.0,634,no,1
22,female,high school,61029.0,0,rent,25000.0,venture,12.23,0.41,3.0,623,no,1
22,female,associate,63236.0,0,rent,25000.0,education,11.11,0.4,4.0,635,no,1
23,female,bachelor,17149.0,0,own,4950.0,debtconsolidation,7.9,0.29,4.0,531,no,1
24,female,master,265066.0,4,mortgage,25000.0,education,11.58,0.09,2.0,665,yes,0
23,male,associate,260205.0,2,mortgage,21000.0,debtconsolidation,8.9,0.08,3.0,703,no,0
25,female,associate,260035.0,5,mortgage,25000.0,education,16.07,0.1,3.0,585,yes,0
26,female,bachelor,260444.0,4,mortgage,20000.0,education,14.22,0.08,2.0,594,no,0
23,male,bachelor,258980.0,0,mortgage,35000.0,medical,14.79,0.14,3.0,618,yes,0
26,male,high school,259081.0,2,mortgage,12000.0,education,7.88,0.05,2.0,626,yes,0
23,male,high school,63497.0,0,rent,25000.0,personal,13.22,0.39,2.0,695,no,1
26,female,doctorate,56325.0,2,rent,25000.0,debtconsolidation,11.86,0.44,4.0,690,no,1
22,male,bachelor,64842.0,0,rent,25000.0,education,13.43,0.39,4.0,574,no,1
26,female,high school,57856.0,0,rent,25000.0,homeimprovement,15.28,0.43,2.0,602,no,1
23,male,associate,57318.0,0,rent,25000.0,venture,17.93,0.44,2.0,679,no,1
23,female,high school,16916.0,2,mortgage,1400.0,education,9.25,0.08,4.0,615,no,0
21,male,master,16664.0,0,own,4500.0,venture,12.98,0.27,4.0,601,no,1
22,male,associate,252803.0,0,mortgage,16000.0,venture,10.62,0.06,4.0,577,yes,0
26,female,associate,253061.0,3,own,22000.0,personal,11.83,0.09,4.0,588,yes,0
26,male,bachelor,58602.0,8,rent,25000.0,venture,18.43,0.43,2.0,595,no,1
22,male,high school,67012.0,2,rent,25000.0,education,11.01,0.37,4.0,653,no,1
24,female,master,66643.0,3,rent,25000.0,homeimprovement,11.01,0.38,4.0,663,no,1
23,male,bachelor,66599.0,0,rent,25000.0,education,11.36,0.38,3.0,653,no,1
23,male,associate,67212.0,2,rent,25000.0,education,15.65,0.37,3.0,598,no,1
24,female,high school,66918.0,1,rent,25000.0,personal,13.22,0.37,4.0,630,no,1
26,male,associate,68066.0,2,rent,25000.0,debtconsolidation,12.87,0.37,2.0,637,no,1
24,male,associate,245545.0,1,own,20000.0,medical,13.04,0.08,3.0,660,yes,0
23,male,associate,229083.0,0,mortgage,22000.0,education,17.58,0.1,3.0,639,no,1
23,male,high school,17859.0,0,own,7750.0,personal,17.04,0.43,4.0,626,no,1
24,female,associate,72608.0,3,rent,25000.0,personal,10.99,0.34,3.0,612,no,1
24,male,bachelor,73073.0,1,rent,25000.0,personal,11.11,0.34,3.0,628,no,1
26,female,master,65880.0,2,rent,25000.0,debtconsolidation,14.83,0.38,2.0,592,no,1
23,male,high school,17755.0,1,own,4000.0,debtconsolidation,11.01,0.23,3.0,580,no,1
24,male,bachelor,241180.0,3,rent,12000.0,medical,12.69,0.05,2.0,634,no,0
24,male,associate,240894.0,3,mortgage,12000.0,homeimprovement,13.49,0.05,2.0,678,no,0
21,male,high school,240980.0,0,mortgage,16000.0,education,14.65,0.07,4.0,557,yes,0
25,male,bachelor,65742.0,3,rent,25000.0,homeimprovement,16.82,0.38,4.0,672,no,1
23,male,bachelor,72713.0,0,rent,25000.0,personal,12.73,0.34,3.0,613,no,1
23,male,high school,72627.0,3,rent,25000.0,personal,10.25,0.34,4.0,566,no,1
21,male,associate,72843.0,0,rent,25000.0,education,10.99,0.34,4.0,718,no,1
25,male,high school,75504.0,4,rent,25000.0,medical,12.73,0.33,2.0,484,no,1
22,female,high school,68824.0,0,rent,25000.0,homeimprovement,14.96,0.36,3.0,634,no,1
23,female,bachelor,241167.0,2,mortgage,28000.0,education,11.01,0.12,2.0,653,yes,0
21,male,bachelor,241060.0,0,mortgage,25000.0,debtconsolidation,13.99,0.1,2.0,699,no,0
24,male,high school,240855.0,0,mortgage,24000.0,venture,7.49,0.1,4.0,656,yes,0
26,male,high school,241030.0,3,mortgage,15000.0,education,14.79,0.06,3.0,626,yes,0
25,male,high school,240895.0,2,mortgage,15500.0,debtconsolidation,11.99,0.06,2.0,659,no,0
24,female,high school,240932.0,4,rent,10000.0,education,8.49,0.04,4.0,604,yes,0
24,male,associate,80145.0,1,rent,25000.0,education,9.91,0.31,2.0,636,no,1
22,male,master,80303.0,0,rent,25000.0,education,13.06,0.31,3.0,554,no,1
22,male,high school,241048.0,0,mortgage,9000.0,debtconsolidation,6.17,0.04,4.0,587,yes,0
25,male,bachelor,241005.0,4,rent,18000.0,education,16.32,0.07,3.0,708,yes,0
25,female,master,240768.0,2,mortgage,12000.0,venture,10.38,0.05,2.0,669,yes,0
25,male,associate,241201.0,2,mortgage,23050.0,personal,14.35,0.1,3.0,578,no,0
24,male,bachelor,240920.0,5,mortgage,20000.0,debtconsolidation,11.01,0.08,3.0,615,no,0
24,female,master,72919.0,1,rent,25000.0,debtconsolidation,11.01,0.34,2.0,553,no,1
21,male,master,18008.0,0,own,3000.0,homeimprovement,11.01,0.17,4.0,635,no,1
26,female,associate,81238.0,3,rent,25000.0,personal,15.21,0.31,2.0,531,no,1
23,male,high school,80868.0,1,rent,25000.0,education,7.9,0.31,4.0,621,no,1
24,male,bachelor,81537.0,1,rent,25000.0,venture,10.99,0.31,3.0,674,no,1
24,female,associate,82741.0,0,rent,25000.0,personal,14.09,0.3,3.0,688,no,1
25,female,high school,83901.0,3,rent,25000.0,personal,17.49,0.3,2.0,597,no,1
25,male,associate,240717.0,1,mortgage,12000.0,education,11.48,0.05,3.0,640,no,0
26,female,associate,226744.0,0,mortgage,20000.0,venture,17.74,0.09,2.0,621,no,1
26,female,bachelor,241114.0,5,mortgage,3000.0,personal,13.92,0.01,3.0,608,yes,0
25,male,bachelor,85284.0,3,rent,25000.0,education,15.21,0.29,3.0,653,no,1
22,female,bachelor,18152.0,0,own,4000.0,medical,10.99,0.22,3.0,585,no,1
24,female,high school,84871.0,3,rent,25000.0,education,11.86,0.29,4.0,569,no,1
24,male,bachelor,18294.0,2,own,6000.0,personal,7.49,0.33,3.0,587,no,1
24,male,bachelor,68029.0,1,rent,25000.0,medical,16.49,0.37,4.0,631,no,1
25,female,high school,80001.0,4,rent,25000.0,venture,15.33,0.31,2.0,592,no,1
26,female,high school,79875.0,6,rent,25000.0,homeimprovement,11.58,0.31,4.0,679,no,1
25,male,high school,18449.0,1,own,5375.0,education,5.79,0.29,2.0,645,no,1
25,male,associate,88153.0,0,rent,25000.0,medical,13.11,0.28,2.0,669,no,1
23,female,bachelor,90109.0,0,rent,25000.0,medical,10.36,0.28,3.0,653,no,1
25,male,bachelor,90938.0,1,rent,25000.0,debtconsolidation,10.36,0.27,2.0,577,no,1
24,male,high school,231335.0,0,rent,22000.0,medical,11.01,0.1,2.0,668,yes,0
21,male,bachelor,231829.0,0,mortgage,20000.0,venture,6.54,0.09,4.0,629,no,0
25,female,associate,230516.0,4,mortgage,10000.0,medical,12.53,0.04,4.0,643,no,0
26,male,bachelor,229626.0,0,mortgage,15000.0,personal,11.01,0.07,3.0,626,no,0
22,male,bachelor,228907.0,0,mortgage,10000.0,venture,11.01,0.04,3.0,560,yes,0
24,male,bachelor,90938.0,0,rent,25000.0,education,10.25,0.27,4.0,648,no,1
22,male,associate,86284.0,0,rent,25000.0,education,15.95,0.29,4.0,648,no,1
26,male,associate,228774.0,3,mortgage,20000.0,venture,12.18,0.09,4.0,669,yes,0
23,male,high school,229027.0,2,own,24000.0,personal,11.83,0.1,3.0,536,yes,0
23,male,high school,94789.0,1,rent,25000.0,debtconsolidation,11.01,0.26,2.0,548,no,1
23,female,master,94780.0,0,rent,25000.0,venture,10.62,0.26,3.0,667,no,1
23,male,high school,95298.0,0,rent,25000.0,venture,10.74,0.26,3.0,676,no,1
25,male,associate,223944.0,1,own,10000.0,venture,10.25,0.04,4.0,570,yes,0
24,male,high school,222629.0,0,mortgage,35000.0,education,12.42,0.16,2.0,623,no,0
25,female,bachelor,222973.0,2,rent,15000.0,venture,15.27,0.07,2.0,652,yes,0
24,female,high school,75240.0,1,rent,25000.0,medical,15.33,0.33,2.0,625,no,1
23,female,high school,96143.0,1,rent,25000.0,venture,15.21,0.26,2.0,642,no,1
21,male,bachelor,18064.0,0,own,6250.0,venture,14.72,0.35,2.0,580,no,1
24,male,associate,96627.0,2,rent,25000.0,personal,15.7,0.26,2.0,622,no,1
24,male,bachelor,96309.0,3,rent,25000.0,education,13.35,0.26,4.0,581,no,1
21,female,high school,18421.0,1,mortgage,1500.0,medical,11.01,0.08,4.0,623,no,0
24,male,master,96836.0,1,rent,25000.0,education,6.62,0.26,2.0,583,no,1
26,male,bachelor,96947.0,4,rent,25000.0,debtconsolidation,13.61,0.26,4.0,645,no,1
22,female,associate,222975.0,2,rent,25000.0,medical,11.36,0.11,2.0,593,yes,0
26,male,associate,222985.0,3,own,5000.0,personal,7.68,0.02,2.0,659,yes,0
24,female,bachelor,223064.0,0,rent,22000.0,homeimprovement,14.46,0.1,4.0,655,yes,0
23,male,associate,221559.0,2,own,2500.0,education,11.83,0.01,2.0,583,yes,0
24,female,associate,207712.0,0,mortgage,20000.0,debtconsolidation,13.47,0.1,4.0,582,no,1
24,female,bachelor,220872.0,1,mortgage,20000.0,medical,11.49,0.09,3.0,504,yes,0
22,male,high school,220518.0,0,mortgage,1000.0,education,11.01,0.0,2.0,551,yes,0
25,female,associate,220510.0,1,mortgage,15000.0,personal,6.03,0.07,3.0,529,yes,0
23,female,bachelor,89818.0,0,rent,25000.0,debtconsolidation,16.35,0.28,4.0,674,no,1
26,female,high school,90006.0,4,rent,25000.0,debtconsolidation,11.01,0.28,4.0,595,no,1
25,female,high school,98704.0,6,rent,25000.0,debtconsolidation,7.29,0.25,3.0,597,no,1
23,male,high school,98967.0,5,rent,25000.0,medical,11.36,0.25,3.0,566,no,1
24,male,high school,99435.0,3,rent,25000.0,venture,10.25,0.25,2.0,666,no,0
24,female,bachelor,100658.0,1,rent,25000.0,education,11.12,0.25,3.0,695,no,0
24,female,bachelor,100435.0,2,rent,25000.0,personal,12.92,0.25,3.0,576,yes,0
24,male,high school,216925.0,5,rent,18000.0,education,18.64,0.08,4.0,651,yes,0
23,female,bachelor,216891.0,0,mortgage,28000.0,personal,7.51,0.13,3.0,633,yes,0
23,male,master,18512.0,1,own,4000.0,homeimprovement,16.7,0.22,2.0,566,no,1
22,male,master,18367.0,0,own,2100.0,personal,11.14,0.11,4.0,583,no,0
22,female,associate,102317.0,0,rent,25000.0,personal,18.3,0.24,4.0,586,yes,0
24,female,associate,103400.0,4,rent,25000.0,medical,10.62,0.24,4.0,592,yes,0
24,male,bachelor,217134.0,2,mortgage,14000.0,venture,11.99,0.06,2.0,598,yes,0
26,male,master,217024.0,1,mortgage,12000.0,venture,9.63,0.06,4.0,637,yes,0
25,female,high school,172215.0,5,mortgage,10000.0,medical,18.25,0.06,4.0,628,no,1
23,male,master,18831.0,0,mortgage,6000.0,debtconsolidation,11.01,0.32,4.0,667,no,1
24,male,associate,105349.0,5,rent,25000.0,homeimprovement,14.84,0.24,3.0,621,yes,0
24,male,bachelor,91184.0,1,rent,25000.0,venture,14.7,0.27,3.0,668,no,1
23,female,high school,91886.0,1,rent,25000.0,debtconsolidation,16.02,0.27,4.0,544,no,1
23,male,associate,80452.0,2,rent,25000.0,medical,15.37,0.31,2.0,699,no,1
25,female,bachelor,108758.0,2,rent,25000.0,medical,10.99,0.23,4.0,611,no,0
21,male,associate,18916.0,0,own,6200.0,homeimprovement,7.9,0.33,2.0,615,no,1
26,female,high school,217234.0,5,own,25000.0,personal,10.99,0.12,4.0,559,yes,0
24,female,high school,217017.0,0,own,21000.0,education,11.48,0.1,3.0,577,yes,0
25,male,high school,216874.0,1,own,20000.0,medical,14.26,0.09,4.0,657,yes,0
26,male,associate,216833.0,5,own,10000.0,homeimprovement,8.0,0.05,4.0,676,yes,0
25,male,bachelor,216483.0,0,mortgage,9950.0,venture,11.26,0.05,2.0,601,no,0
23,female,master,19000.0,2,own,4475.0,medical,11.01,0.24,4.0,647,no,1
23,female,master,94363.0,0,rent,25000.0,venture,16.32,0.26,3.0,576,no,1
25,male,master,80570.0,3,rent,25000.0,medical,17.93,0.31,4.0,612,no,1
23,male,bachelor,109167.0,0,rent,25000.0,debtconsolidation,11.36,0.23,3.0,678,no,0
24,female,associate,95753.0,1,rent,25000.0,debtconsolidation,14.96,0.26,4.0,542,no,1
24,female,associate,110935.0,1,rent,25000.0,personal,13.43,0.23,3.0,709,yes,0
25,male,associate,111490.0,2,rent,25000.0,homeimprovement,12.69,0.22,3.0,622,yes,0
24,male,associate,111729.0,4,rent,25000.0,venture,12.73,0.22,4.0,642,yes,0
23,female,high school,113396.0,0,rent,25000.0,venture,15.21,0.22,4.0,660,no,0
23,female,bachelor,19175.0,1,mortgage,1750.0,medical,12.68,0.09,3.0,587,yes,0
23,female,high school,85787.0,0,rent,25000.0,medical,19.04,0.29,4.0,646,no,1
25,female,master,102114.0,7,rent,25000.0,debtconsolidation,15.95,0.24,3.0,637,no,1
26,male,bachelor,211005.0,5,mortgage,2600.0,venture,8.9,0.01,4.0,718,no,0
25,male,master,210903.0,4,mortgage,8000.0,homeimprovement,7.9,0.04,2.0,588,yes,0
22,male,associate,210555.0,0,mortgage,18000.0,education,11.01,0.09,2.0,652,no,0
23,male,bachelor,210937.0,0,mortgage,21000.0,personal,11.99,0.1,3.0,620,yes,0
23,male,high school,19062.0,2,own,4000.0,debtconsolidation,13.98,0.21,4.0,667,no,1
23,female,associate,18926.0,0,own,4600.0,venture,10.99,0.24,2.0,688,no,1
22,male,associate,106694.0,0,rent,25000.0,debtconsolidation,15.58,0.23,2.0,667,no,1
25,male,master,90718.0,4,rent,25000.0,medical,10.99,0.28,2.0,692,no,1
25,male,bachelor,106668.0,1,rent,25000.0,venture,14.96,0.23,4.0,562,no,1
25,male,high school,19158.0,4,own,1750.0,homeimprovement,15.31,0.09,4.0,625,yes,0
26,male,high school,106419.0,5,rent,25000.0,venture,15.65,0.23,3.0,649,no,1
25,female,high school,120696.0,3,rent,25000.0,venture,9.33,0.21,4.0,545,yes,0
23,male,high school,19065.0,3,mortgage,3600.0,personal,13.47,0.19,4.0,540,no,1
24,female,associate,124083.0,0,rent,25000.0,personal,10.36,0.2,3.0,637,yes,0
24,male,associate,111673.0,4,rent,25000.0,homeimprovement,16.77,0.22,4.0,600,no,1
23,male,high school,112633.0,1,rent,25000.0,debtconsolidation,14.59,0.22,2.0,633,no,1
22,male,high school,210938.0,0,rent,3500.0,venture,11.91,0.02,2.0,588,no,0
23,female,associate,210720.0,2,mortgage,7200.0,education,8.38,0.03,3.0,624,yes,0
25,male,high school,210705.0,7,rent,9000.0,venture,10.59,0.04,3.0,525,yes,0
25,male,high school,209997.0,3,mortgage,8800.0,debtconsolidation,14.27,0.04,3.0,616,yes,0
26,female,master,209873.0,3,rent,12000.0,debtconsolidation,12.53,0.06,4.0,675,no,0
25,female,associate,195268.0,1,mortgage,25000.0,debtconsolidation,16.0,0.13,3.0,662,no,1
26,male,master,209393.0,2,mortgage,10000.0,venture,11.71,0.05,4.0,585,yes,0
21,male,master,18773.0,0,own,3175.0,homeimprovement,11.54,0.17,3.0,686,no,1
25,female,bachelor,116439.0,2,rent,25000.0,homeimprovement,15.68,0.21,4.0,595,no,1
21,female,associate,19169.0,2,mortgage,1500.0,education,10.59,0.08,2.0,537,yes,0
24,female,high school,118417.0,0,rent,25000.0,homeimprovement,12.61,0.21,2.0,625,no,1
